Column1;Column2;Column3;Column4
याद;24;x;keep
फूल;24;x;keep
आऊ;23;;remove
सानो;23;x;keep
उसको;23;;remove
गर्छ;23;;remove
कोही;23;;remove
कसैले;22;;remove
आउँछ;22;;remove
पर्छ;22;;remove
तिमीले;22;;remove
देशको;22;x;keep
प्रश्न;22;x;keep
हुन्;22;;remove
गर्छु;22;;remove
जो;22;;remove
यति;22;;remove
अघि;22;;remove
सारा;22;;remove
बसेर;21;;remove
कता;21;;remove
हात;21;x;keep
तिम्रा;21;;remove
सुन्दर;21;x;keep
पो;21;;remove
तस्बिर;21;x;keep
हुँ;21;;remove
यस्तो;20;;remove
उस्तै;20;;remove
यसरी;20;;remove
को;20;;remove
भन्दै;20;;remove
नि;20;;remove
पीडा;20;x;keep
कथा;20;x;keep
कस्तो;20;;remove
यस्तै;19;;remove
अर्को;19;;remove
भनेर;19;;remove
छोरी;19;x;keep
मेरी;19;;remove
गर्छन्;19;;remove
हुन;19;;remove
गरेको;19;;remove
गरेर;18;;remove
रे;18;;remove
मनको;18;x;keep
हुँदै;18;;remove
वा;18;;remove
कसैको;18;;remove
साँच्चै;18;x;keep
पछि;18;;remove
ललिपप्;18;x;keep
प्रेम;18;x;keep
गर;18;;remove
इतिहास;18;x;keep
जीवनको;18;x;keep
कालो;17;x;keep
मैँले;17;;remove
साथ;17;x;keep
गर्दा;17;;remove
पर्ने;17;;remove
आवाज;17;x;keep
परेको;17;;remove
हिँड्ने;17;;remove
फरक;17;x;keep
आकाश;17;x;keep
गरे;16;;remove
आमाको;16;x;keep
हुन्छु;16;;remove
सपनाहरू;16;x;keep
हुन्थ्यो;16;;remove
रङ्ग;16;x;keep
बोकी;16;;remove
बिना;16;;remove
भाषा;16;x;keep
हुन्छन्;16;;remove
आँसु;15;x;keep
उनी;15;;remove
बन्द;15;x;keep
प्रत्येक;15;;remove
कविता;15;x;keep
अरू;15;;remove
भनेको;15;;remove
उत्तर;15;x;keep
माथि;15;;remove
वर्ष;15;x;keep
पर;15;;remove
हुनु;15;;remove
दिने;15;;remove
खोज्दै;15;;remove
चिठी;15;x;keep
राख्नु;15;;remove
उही;14;;remove
हुँदा;14;;remove
आउँछन्;14;;remove
भरी;14;;remove
नाम;14;x;keep
घरको;14;x;keep
अन्तिम;14;x;keep
आखिर;14;x;keep
समय;14;x;keep
भएँ;14;;remove
हातमा;14;x;keep
एउटै;14;x;keep
कहीँ;14;;remove
अहिले;14;x;keep
शरीर;14;x;keep
पहाड;14;x;keep
पाँच;14;x;keep
घरमा;13;x;keep
परे;13;;remove
हेर्ने;13;;remove
गरौँ;13;;remove
यदि;13;;remove
शब्द;13;x;keep
सँगै;13;;remove
आफू;13;;remove
केवल;13;;remove
मनमा;13;x;keep
भित्र;13;;remove
हैन;13;;remove
उसलाई;13;;remove
बाबा;13;x;keep
खोइ;13;;remove
छातीमा;13;x;keep
खोलाको;13;x;keep
माटो;13;x;keep
खोज्छु;13;;remove
गीत;12;x;keep
फेस्बूक;12;x;keep
दिदी;12;x;keep
सकिनँ;12;;remove
विशाल;12;x;keep
प्यारो;12;x;keep
बन्न;12;;remove
नयाँ;12;x;keep
समाज;12;x;keep
तिनै;12;;remove
छोडेर;12;;remove
जे;12;;remove
बुहारी;12;x;keep
युद्ध;12;x;keep
भारी;12;x;keep
त्यहाँ;12;;remove
पटक;12;x;keep
नाममा;12;x;keep
महा;12;;remove
जोङ्खा;12;x;keep
लोपेन;12;x;keep
महरू;12;;remove
ममा;11;;remove
एक्लै;11;x;keep
पहिलो;11;;remove
गयो;11;;remove
भै;11;;remove
सिमाना;11;x;keep
जसले;11;;remove
उनीहरू;11;;remove
लौ;11;;remove
हुनुपर्छ;11;;remove
छोरा;11;x;keep
खै;11;;remove
आशा;11;x;keep
भई;11;;remove
अझ;11;;remove
गर्नु;11;;remove
जिन्दगी;11;x;keep
खोजीमा;11;x;keep
आस्था;11;x;keep
डर;11;x;keep
राम्रो;11;;remove
अतीत;11;x;keep
पहिचान;11;x;keep
सबको;11;;remove
ता;11;;remove
जसरी;11;;remove
डाक्टर;11;x;keep
हराएको;11;x;keep
प्रिय;11;x;keep
माटोको;11;x;keep
साँझ;10;x;keep
पैसा;10;x;keep
या;10;;remove
गरेँ;10;;remove
शान्ति;10;x;keep
मेरै;10;;remove
शिर;10;x;keep
काम;10;x;keep
भएछ;10;;remove
छौ;10;;remove
हुन्न;10;;remove
पर्दैन;10;;remove
आउने;10;;remove
हेर;10;;remove
व्यस्त;10;x;keep
मै;10;;remove
चाहना;10;x;keep
गए;10;;remove
सहजै;10;;remove
शान्त;10;x;keep
सत्य;10;x;keep
पल;10;x;keep
अस्तित्व;10;x;keep
लागेको;10;;remove
आमाले;10;x;keep
बानी;10;x;keep
मानिस;10;x;keep
आफैँ;10;;remove
ज्ञान;10;x;keep
मान्छेहरू;10;x;keep
तिम्रै;10;;remove
काँडा;10;x;keep
उभिएर;10;;remove
कलम;10;x;keep
पुग्छु;10;;remove
भएका;10;;remove
लास;10;x;keep
एकै;10;;remove
चाहिएको;10;;remove
छाता;10;x;keep
छैनन्;9;;remove
बाँचेको;9;;remove
हेर्न;9;;remove
पत्र;9;x;keep
संसारमा;9;x;keep
रात;9;x;keep
यात्रा;9;x;keep
अरु;9;;remove
आफैँलाई;9;;remove
थोरै;9;;remove
चाहन्छु;9;;remove
स्वतन्त्र;9;x;keep
अलिकति;9;;remove
खराब;9;x;keep
हेरेर;9;;remove
त्यस;9;;remove
अति;9;x;keep
रूपमा;9;x;keep
सबैको;9;;remove
बा;9;x;keep
रगत;9;x;keep
अरे;9;;remove
यस;9;;remove
मात्रै;9;;remove
तल;9;x;keep
थिइन्;9;;remove
दुई;9;;remove
गाली;9;x;keep
ज्योति;9;x;keep
विश्वास;9;x;keep
दिएर;9;;remove
तिमीसँग;9;;remove
लाग्यो;9;;remove
आदि;9;;remove
हिँड्न;9;;remove
बादल;9;x;keep
कर्म;9;x;keep
पसिना;9;x;keep
बन्दै;9;;remove
पार्न;9;;remove
पारी;9;;remove
भिन्न;9;x;keep
रगतले;9;x;keep
बनी;9;;remove
पैतालाले;9;x;keep
नेपाल;9;x;keep
मान्छेको;9;x;keep
बग्ने;9;;remove
सय;9;x;keep
कानमा;9;x;keep
देशमा;9;x;keep
सिङ्गो;9;x;keep
घाउ;9;x;keep
ओत;9;x;keep
धान;8;x;keep
गाउँमा;8;x;keep
बनेर;8;;remove
भोक;8;x;keep
बिहान;8;x;keep
दिनमा;8;x;keep
देख्छु;8;;remove
ठूलो;8;x;keep
नदी;8;x;keep
आगो;8;x;keep
रहेको;8;;remove
धर्म;8;x;keep
सबमा;8;;remove
सम्बन्ध;8;x;keep
चोटि;8;;remove
त्यसलाई;8;;remove
भन्छन्;8;;remove
बोल्न;8;;remove
आफ्ना;8;;remove
सम्झेर;8;;remove
कयौँ;8;;remove
मरेको;8;x;keep
खाली;8;x;keep
वटा;8;;remove
आफूलाई;8;;remove
भोलि;8;x;keep
जसको;8;;remove
तब;8;;remove
दिएको;8;;remove
लगाएर;8;;remove
नानी;8;x;keep
स्वर्ग;8;x;keep
लोकमा;8;x;keep
निरन्तर;8;x;keep
अर्काको;8;;remove
खाने;8;;remove
ठाउँ;8;x;keep
आँखामा;8;x;keep
अनेक;8;;remove
अलि;8;;remove
हेरेँ;8;;remove
भन्छु;8;;remove
रूप;8;x;keep
होस्;8;;remove
निर्धक्क;8;x;keep
जान्छन्;8;;remove
पृथ्वी;8;x;keep
मुटु;8;x;keep
उनै;8;;remove
टाउकोमा;8;x;keep
देखेर;8;;remove
गौरव;8;x;keep
काँडाघारी;8;x;keep
परिसक्यो;8;;remove
कुचो;8;x;keep
लाऊ;8;;remove
नलाऊ;8;;remove
कटुसका;8;x;keep
चिनिसक्यो;8;;remove
बेलडाँगी;8;x;keep
धर्ती;8;x;keep
भन्दा;8;;remove
उसले;8;;remove
बिचरा;8;x;keep
लागेर;8;;remove
चाबी;8;x;keep
अमेरिका;8;x;keep
आजकाल;8;;remove
टाँसी;8;;remove
साब;8;x;keep
जाँच;8;x;keep
यहीँ;8;;remove
हालिदियो;8;;remove
बौलाहा;8;x;keep
ठाउँमा;7;x;keep
वन;7;x;keep
साल;7;x;keep
डराउनु;7;;remove
विश्व;7;x;keep
जन्म;7;x;keep
बाली;7;x;keep
जाने;7;;remove
सेतो;7;x;keep
अनन्त;7;;remove
इच्छा;7;x;keep
डाँडा;7;x;keep
सदा;7;;remove
गरेका;7;;remove
कसले;7;;remove
संसारको;7;x;keep
बनाउने;7;;remove
बनाउन;7;;remove
बनेका;7;;remove
भन्न;7;;remove
हेर्दै;7;;remove
पात;7;x;keep
हे;7;;remove
देखेको;7;;remove
आएको;7;;remove
बनाएर;7;;remove
महसुस;7;x;keep
दुःख;7;x;keep
पुगेर;7;;remove
हौ;7;;remove
देखेँ;7;;remove
सोच्न;7;;remove
बुझ्न;7;;remove
बाटोमा;7;x;keep
जवाफ;7;x;keep
त्यसको;7;;remove
मकै;7;x;keep
देखिन्छ;7;;remove
कठै;7;;remove
बाहिर;7;;remove
गाउँदै;7;;remove
स्वर;7;x;keep
खोला;7;x;keep
भित्तामा;7;x;keep
मानव;7;x;keep
शून्य;7;x;keep
सरी;7;;remove
यता;7;;remove
लाखौँ;7;;remove
खुट्टा;7;x;keep
कैयौँ;7;;remove
औँला;7;x;keep
गुगल;7;x;keep
पार;7;;remove
हातहरू;7;x;keep
लाग्ने;7;;remove
दिव्य;7;x;keep
आएर;7;;remove
जीवनका;7;x;keep
नाता;7;x;keep
बोली;7;x;keep
कहिलेकाहीँ;7;;remove
सक्छ;7;;remove
झरी;7;x;keep
यादहरू;7;x;keep
उभिएको;7;;remove
वर्तमान;7;x;keep
बलेँसीमा;7;x;keep
ढोका;7;x;keep
सकिन;7;;remove
भविष्य;7;x;keep
देखिने;7;;remove
त्यसरी;7;;remove
बनाएको;7;;remove
सात;7;;remove
बिस्तारै;7;;remove
सरल;7;x;keep
विपक्षमा;7;x;keep
हरियो;7;x;keep
बिरानो;7;x;keep
प्रेमको;7;x;keep
परियोडिक;7;x;keep
मलामी;7;x;keep
सद्दे;7;x;keep
दसैँ;6;x;keep
उता;6;;remove
जाँदा;6;;remove
गन्तव्य;6;x;keep
आनन्द;6;x;keep
पाइलाहरू;6;x;keep
बग्छ;6;;remove
मिठो;6;;remove
मनले;6;x;keep
सेवा;6;x;keep
कवि;6;x;keep
स्वतन्त्रता;6;x;keep
नगरी;6;;remove
नौलो;6;x;keep
सुन्ने;6;;remove
पूरा;6;;remove
नारी;6;x;keep
दिन्छ;6;;remove
विकास;6;x;keep
जुन;6;;remove
राता;6;;remove
औधी;6;;remove
यतिका;6;;remove
त्यसपछि;6;;remove
काका;6;x;keep
आई;6;;remove
हरायो;6;;remove
युग;6;x;keep
पालो;6;x;keep
ढुक्क;6;x;keep
भएन;6;;remove
पुरा;6;x;keep
हुन्थेँ;6;;remove
पर्थ्यो;6;;remove
दुवै;6;x;keep
सुस्त;6;x;keep
माफ;6;x;keep
अन्धकार;6;x;keep
पेट;6;x;keep
पुग्ने;6;;remove
रित्तो;6;x;keep
आफन्त;6;x;keep
खुसीको;6;x;keep
रातो;6;;remove
ए;6;;remove
त्यहीँ;6;;remove
प्रमाण;6;x;keep
मानिसलाई;6;x;keep
होलान्;6;;remove
पुरानो;6;x;keep
वीर;6;x;keep
स्वाभिमान;6;x;keep
फिक्का;6;x;keep
भूमि;6;x;keep
तन;6;x;keep
भूमिमा;6;x;keep
खरानी;6;x;keep
त्रास;6;x;keep
हिँडेको;6;x;keep
अन्त्य;6;x;keep
गीतहरू;6;x;keep
सन्तान;6;x;keep
अचम्म;6;x;keep
आउन;6;;remove
बस्ती;6;x;keep
रहेछन्;6;;remove
सामु;6;;remove
पछाडि;6;;remove
पहिले;6;;remove
सकूँ;6;;remove
गङ्गा;6;x;keep
पवन;6;x;keep
हुँदो;6;;remove
दर्शन;6;x;keep
खातिर;6;;remove
मरे;6;;remove
सक्ने;6;;remove
त्यति;6;;remove
देख्दा;6;;remove
बाँच्न;6;;remove
खोजिरहेछु;6;;remove
जान्छ;6;;remove
दुनियाँको;6;x;keep
अनुहार;6;x;keep
उभिन्छु;6;;remove
सक्दिन;6;;remove
नाना;6;x;keep
शैय्यामा;6;x;keep
छटपटाइरहेछ;6;x;keep
सबैभन्दा;6;;remove
देखिन्छन्;6;;remove
पटक्कै;6;;remove
हुनुको;6;;remove
आत्मा;6;x;keep
मसँग;6;;remove
नबन;6;;remove
चिसो;6;x;keep
पल्ट;6;;remove
हिमाल;6;x;keep
विरोधमा;6;x;keep
इच्छुक;6;x;keep
थिइनँ;6;;remove
उनकै;6;;remove
जगको;6;x;keep
आउनेहरू;6;;remove
दिउन्;6;;remove
जन्मेको;6;;remove
फेल;6;x;keep
मानेको;6;;remove
शरिर;6;x;keep
बेलामा;6;;remove
बौलाउँछु;6;x;keep
हर;5;;remove
चिन्ता;5;x;keep
हालेर;5;;remove
फोटो;5;x;keep
राजा;5;x;keep
छिटो;5;;remove
उन्नति;5;x;keep
वरिपरि;5;;remove
देह;5;x;keep
कुराहरू;5;;remove
खोज्न;5;;remove
बनायौ;5;;remove
दोष;5;x;keep
बगैँचा;5;x;keep
त्यै;5;;remove
लाग्थ्यो;5;;remove
भनि;5;;remove
सन्देश;5;x;keep
देख्न;5;;remove
बोट;5;x;keep
न्यानो;5;x;keep
परिकल्पना;5;x;keep
सृष्टि;5;x;keep
बुलन्द;5;x;keep
सुख;5;x;keep
सके;5;;remove
मुख;5;x;keep
चाल;5;x;keep
बनौँ;5;;remove
जात;5;x;keep
इज्जत;5;x;keep
मित्रहरू;5;x;keep
पुरुषले;5;x;keep
विनाश;5;x;keep
गलत;5;x;keep
भन्छौ;5;;remove
सामाजिक;5;x;keep
हेर्दा;5;;remove
झन्;5;;remove
आस;5;x;keep
गर्थे;5;;remove
भन्थ्यो;5;;remove
जसलाई;5;;remove
विज्ञापन;5;x;keep
बुढी;5;x;keep
कान्छा;5;x;keep
साथी;5;x;keep
उसैको;5;;remove
बस;5;;remove
त्यस्तै;5;;remove
कालको;5;x;keep
हरि;5;;remove
भित्रभित्रै;5;;remove
शिव;5;;remove
गाह्रो;5;x;keep
भन्नु;5;;remove
प्रतीक्षामा;5;x;keep
उहाँ;5;;remove
गरिएको;5;;remove
उपहार;5;x;keep
साबित;5;x;keep
समयको;5;x;keep
थाल्यो;5;;remove
खेती;5;x;keep
जगमा;5;x;keep
होस;5;;remove
समान;5;x;keep
रह्यो;5;;remove
गति;5;x;keep
नत;5;;remove
तिमि;5;;remove
नभए;5;;remove
कुन;5;;remove
छैनौ;5;;remove
छोडी;5;;remove
छुन;5;;remove
कुनामा;5;;remove
बाध्य;5;x;keep
हाँसो;5;x;keep
दाइ;5;x;keep
खाएको;5;;remove
जूनको;5;x;keep
भाग्य;5;x;keep
बाबाको;5;x;keep
आधा;5;x;keep
थालेँ;5;;remove
डरले;5;x;keep
भर;5;x;keep
पाएँ;5;;remove
देखि;5;;remove
अरूको;5;;remove
दिनेथ्यौ;5;;remove
बनाई;5;;remove
खान;5;;remove
कतिलाई;5;;remove
चित्कार;5;x;keep
मुटुमा;5;x;keep
नभएर;5;;remove
बितेछ;5;;remove
जलेर;5;;remove
लुटिएको;5;x;keep
बनेको;5;;remove
कारण;5;x;keep
छाडी;5;;remove
सम्झी;5;;remove
कान;5;x;keep
रमाउने;5;;remove
रोएको;5;;remove
स्पर्श;5;x;keep
हराउँदै;5;;remove
मुखमा;5;x;keep
हजार;5;;remove
रहर;5;x;keep
चकमन्न;5;;remove
पाइला;5;x;keep
प्रिया;5;x;keep
ख्याल;5;x;keep
सागर;5;x;keep
डुब्दै;5;;remove
काहीँ;5;;remove
दिशा;5;x;keep
अर्थ;5;x;keep
बल;5;x;keep
असल;5;x;keep
खोज्छ;5;;remove
दैव;5;x;keep
ठुला;5;x;keep
दिन्छु;5;;remove
प्रेमिल;5;x;keep
कोमल;5;x;keep
अचानक;5;x;keep
यसको;5;;remove
आवाजले;5;x;keep
धनी;5;x;keep
तिनको;5;;remove
अविरल;5;x;keep
हत्या;5;x;keep
पहाडको;5;x;keep
पर्यो;5;;remove
भेष;5;x;keep
तातो;5;;remove
ममता;5;x;keep
सङ्घर्ष;5;x;keep
अक्षर;5;x;keep
भूटान;5;x;keep
एक्लो;5;x;keep
धमिलो;5;x;keep
अनुहारमा;5;x;keep
रातभर;5;x;keep
त्यहाँको;5;;remove
परिवेश;5;x;keep
तपाईँको;5;;remove
सन्ततिलाई;5;x;keep
क्षण;5;x;keep
बारेमा;5;;remove
लासको;5;x;keep
कसुर;5;x;keep
भोकै;5;x;keep
एक्कासि;5;;remove
स्वच्छ;5;x;keep
परेर;5;;remove
रुख;5;x;keep
यिनै;5;;remove
घाम;5;x;keep
सही;5;;remove
थरी;5;;remove
पत्ता;5;;remove
बादलले;5;x;keep
भन्यो;5;;remove
विगत;5;x;keep
आकृति;5;x;keep
अस्मिता;5;x;keep
रिसाउँछ;5;;remove
पुग्छ;5;;remove
भूगोल;5;x;keep
उत्तरे;5;x;keep
गाउँको;5;x;keep
सुरु;5;x;keep
देशबाट;5;x;keep
सम्झँदै;5;x;keep
हावा;5;x;keep
जन्मेर;5;;remove
छातीको;5;x;keep
मधुर;5;x;keep
समस्या;5;x;keep
खोज्दा;5;;remove
थियौँ;5;;remove
कामना;5;x;keep
राम;5;x;keep
पाउँदिन;5;;remove
मान्छेजस्ता;5;x;keep
देखिँदैनन्;5;;remove
आमाबाबुलाई;5;x;keep
सकभर;5;x;keep
झुन्डाएर;5;x;keep
उनको;5;;remove
थोपा;5;x;keep
हिउँ;5;x;keep
पाइन्छ;5;;remove
भानु;5;x;keep
जयन्ती;5;x;keep
नहुँदा;5;;remove
बबुरो;5;x;keep
छाती;5;x;keep
नम्बर;5;x;keep
फड्के;5;x;keep
केहि;5;;remove
कहाँबाट;5;;remove
नरे;5;;remove
आएनन्;5;;remove
साना;4;x;keep
बिहानी;4;x;keep
असारे;4;x;keep
तिहार;4;x;keep
पूजा;4;x;keep
सुनिन्छ;4;;remove
बखत;4;x;keep
बनायो;4;;remove
फेस्बूकको;4;x;keep
सकिन्छ;4;;remove
ध्यान;4;x;keep
दाजु;4;x;keep
निकै;4;;remove
जनता;4;x;keep
गई;4;;remove
हेर्नु;4;;remove
मार्ग;4;x;keep
गाडी;4;x;keep
लागेँ;4;;remove
अलपत्र;4;x;keep
सन्तानहरू;4;x;keep
मिल्ने;4;;remove
रुखमुनि;4;;remove
सानु;4;x;keep
बन्यो;4;;remove
लगाई;4;;remove
भएछन्;4;;remove
बलात्कृत;4;x;keep
कलिला;4;x;keep
पश्चिम;4;x;keep
झरना;4;x;keep
रवि;4;x;keep
परेवा;4;x;keep
धुन;4;x;keep
पाउने;4;;remove
कैले;4;;remove
लहरा;4;x;keep
बास;4;x;keep
नहुने;4;;remove
भूगोलको;4;x;keep
गगन;4;x;keep
नारा;4;x;keep
पूर्ण;4;x;keep
दोषी;4;x;keep
राखेर;4;;remove
बोले;4;;remove
भइन्छ;4;;remove
सक्छन्;4;;remove
छोरीलाई;4;x;keep
छोटो;4;x;keep
वस्त्र;4;x;keep
तिनीहरू;4;;remove
बलात्कार;4;x;keep
उनीहरूको;4;;remove
नारीको;4;x;keep
अधीनमा;4;x;keep
सुरक्षित;4;x;keep
नारीहरूको;4;x;keep
नग्न;4;x;keep
चुपचाप;4;x;keep
चाहन्छ;4;;remove
खास;4;x;keep
हिँड्नु;4;;remove
विभेद;4;x;keep
खुब;4;;remove
सफलताको;4;x;keep
संस्कृति;4;x;keep
विरोध;4;x;keep
प्यास;4;x;keep
अहो;4;;remove
खेल्दै;4;;remove
मस्त;4;;remove
दिनै;4;;remove
पात्र;4;x;keep
गएको;4;;remove
हुल;4;x;keep
वर्षसम्म;4;x;keep
कसैलाई;4;;remove
फर्केर;4;;remove
दुईचार;4;;remove
सुकेको;4;;remove
पाखा;4;x;keep
पशु;4;x;keep
चैन;4;x;keep
गो;4;x;keep
सोच;4;x;keep
सानै;4;;remove
भोलिको;4;;remove
सवार;4;x;keep
निम्ति;4;;remove
धर्तीमा;4;x;keep
आकाशमा;4;x;keep
कठिन;4;x;keep
एकोहोरो;4;;remove
वास्तविक;4;x;keep
पहरा;4;x;keep
दिए;4;;remove
सबका;4;;remove
आँसुका;4;x;keep
पलपल;4;;remove
टाढा;4;;remove
कुना;4;x;keep
आमालाई;4;x;keep
धर्तीको;4;x;keep
सम्झनाको;4;x;keep
सजिएको;4;x;keep
बाको;4;x;keep
पक्कै;4;;remove
की;4;;remove
आउँदा;4;;remove
लगाउने;4;;remove
हिम्मत;4;x;keep
शङ्का;4;x;keep
संसारलाई;4;x;keep
बनाउनु;4;;remove
बार;4;x;keep
रोग;4;x;keep
विज्ञान;4;x;keep
व्याख्या;4;x;keep
असाधारण;4;x;keep
रक्षा;4;x;keep
भाव;4;x;keep
लागे;4;;remove
यौटा;4;;remove
बनाउँदै;4;;remove
बर्खे;4;x;keep
गरा;4;x;keep
गोरेटो;4;x;keep
लगाउँदै;4;;remove
बारीका;4;x;keep
वस्तु;4;x;keep
छेउमा;4;x;keep
च्वास्स;4;x;keep
भइदिएको;4;;remove
बोकेको;4;;remove
रहेनछ;4;;remove
दूध;4;x;keep
जिउँदो;4;x;keep
अवस्था;4;x;keep
परिवेशमा;4;x;keep
काल;4;x;keep
बाटा;4;x;keep
बगेको;4;;remove
खोजेको;4;;remove
हेर्छु;4;;remove
ज्यान;4;x;keep
उमेर;4;x;keep
जङ्गलमा;4;x;keep
बाले;4;x;keep
हाल;4;x;keep
कर्कश;4;x;keep
हावाको;4;x;keep
वेग;4;x;keep
फुली;4;;remove
एकाएक;4;;remove
आजभोलि;4;;remove
वर्षदेखि;4;;remove
खुबै;4;;remove
नेता;4;x;keep
झन्डा;4;x;keep
सलाम;4;x;keep
ढुङ्गा;4;x;keep
जहिले;4;;remove
बाध्यता;4;x;keep
कृत्रिम;4;x;keep
संस्कार;4;x;keep
दिएका;4;;remove
मान्छेले;4;x;keep
मानिसहरू;4;x;keep
बस्तीमा;4;x;keep
परी;4;;remove
छुने;4;;remove
व्यवस्थाले;4;x;keep
थकित;4;x;keep
शरणार्थी;4;x;keep
नसकी;4;;remove
सुगन्ध;4;x;keep
मानसम्मान;4;x;keep
छुरा;4;x;keep
मर्यादा;4;x;keep
देख्छ;4;;remove
समृद्धि;4;x;keep
हिँड्छ;4;;remove
अरूलाई;4;;remove
प्रकृति;4;x;keep
धेर;4;;remove
अथवा;4;;remove
हृदय;4;x;keep
चाहिन्छ;4;;remove
तीन;4;;remove
युद्धले;4;x;keep
हेर्दाहेर्दै;4;;remove
शीतल;4;x;keep
नजिक;4;;remove
उसकै;4;;remove
सम्झना;4;x;keep
त्रसित;4;x;keep
बिन्ती;4;x;keep
भर्छन्;4;;remove
चाँडै;4;;remove
जन;4;x;keep
बुट;4;x;keep
बग्छन्;4;;remove
आयौ;4;;remove
पाएर;4;;remove
भित्री;4;;remove
पाप;4;x;keep
शोभा;4;x;keep
टोपी;4;x;keep
महत्त्व;4;x;keep
जोडेर;4;;remove
दियो;4;;remove
भनौँ;4;;remove
सयौँ;4;;remove
जान;4;;remove
बढ्छ;4;;remove
हातले;4;x;keep
कलमले;4;x;keep
स्कुल;4;x;keep
शिक्षा;4;x;keep
यात्राको;4;x;keep
भिडमा;4;x;keep
थर्काउँछ;4;;remove
सेरोफेरो;4;x;keep
लागेसम्म;4;;remove
पन्नामा;4;x;keep
फूलहरू;4;x;keep
छाडेर;4;;remove
गुनासो;4;x;keep
तपाईँ;4;;remove
खेल्ने;4;;remove
बिपना;4;x;keep
तपाईँले;4;;remove
चाहन्न;4;;remove
शब्दहरू;4;x;keep
नाति;4;x;keep
रङ्गिन;4;x;keep
फुकोसीमा;4;x;keep
दुनियाँमा;4;x;keep
हामीले;4;;remove
गरि;4;;remove
थर;4;x;keep
परिवर्तन;4;x;keep
मारेको;4;;remove
क्षितिजमा;4;x;keep
सिर्फ;4;;remove
ग्रस;4;x;keep
नेसनल;4;x;keep
ह्यापिनेस;4;x;keep
बराबर;4;;remove
भित्रको;4;;remove
आआफ्नै;4;;remove
साधारण;4;x;keep
जीवित;4;x;keep
पानीको;4;x;keep
दियौ;4;;remove
जीवनमा;4;x;keep
मरेर;4;;remove
नागरिक;4;x;keep
निष्कर्ष;4;x;keep
हेरिरहेछु;4;;remove
भनिदिएँ;4;;remove
नातिनीलाई;4;x;keep
रहनेछ;4;;remove
प्रश्नको;4;x;keep
माङ्मा;4;;remove
लुङ;4;;remove
कैद;4;x;keep
हर्ष;4;x;keep
हुनुमा;4;;remove
अचेल;4;;remove
त्यस्तो;4;;remove
बाउ;4;x;keep
गुण;4;x;keep
पुग्यो;4;;remove
कुरूप;4;x;keep
भूटानी;4;x;keep
सम्झेँ;4;;remove
सम्झँदा;4;;remove
किताब;4;x;keep
सम्झिएर;4;;remove
सिमानाले;4;x;keep
जन्मभूमि;4;x;keep
तँ;4;;remove
साथै;4;;remove
छाया;4;x;keep
फुलेको;4;;remove
बाआमालाई;4;x;keep
स्मार्टफोन;4;x;keep
फोन;4;x;keep
आकाशको;4;x;keep
लेखेँ;4;;remove
गर्दैछु;4;;remove
बरु;4;;remove
